Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Neuner / Sas dles Nü,2968,301,11.9811,46.6303,Dolomites - NE,South Tyrol,IT,0
Cima del Duca,2968,293,9.7961,46.2878,Bregaglia Range,Sondrio,IT,0
Serottini,2967,425,10.3478,46.2908,Ortler Alps,Brescia/Sondrio,IT,0
Schober,2967,380,13.4683,47.0344,Ankogel Group,Carinthia,AT,0
Haunold,2966,677,12.2775,46.6886,Sexten Dolomites,South Tyrol,IT,1878
Schesaplana,2965,828,9.7075,47.0536,Rätikon,Vorarlb/Graub.,AT/CH,1610
Aiguille du Belvédère,2965,505,6.8736,45.9878,Chablais Alps,Upper Savoy,FR,0
Reißeck,2965,300,13.3644,46.9472,Ankogel Group,Carinthia,AT,0
Monte Tagliaferro,2964,640,7.9708,45.8725,Monte Rosa Alps,Vercelli,IT,0
Piz Turettas,2963,400,10.3347,46.5869,Ortler Alps,Graubünden,CH,0
Pizzo Lucendro,2963,350,8.5194,46.5389,Leone-Gotthard Alps,Ticino/Uri,CH,1871
Zugspitze,2962,1746,10.9853,47.4211,Wetterstein,N-Tyrol/Bavaria,AT/DE,1820
Weiße Spitze,2962,910,12.3578,46.8719,Villgraten Mountains,East Tyrol,AT,1894
Rienzenstock,2962,479,8.6350,46.6831,Glarus Alps,Uri,CH,0
Marchhorn/Pta del Termine,2962,327,8.4625,46.4486,Ticino Alps,Ticino/V-C-O,CH/IT,0
Tête de l'Estrop,2961,712,6.5058,44.2867,Provence Alps,A-d-H-Provence,FR,0
Cima Brenta Alta,2961,341,10.8964,46.1603,Brenta Dolomites,Trentino,IT,1880
Piz Lagalb,2959,524,10.0236,46.4317,Livigno Alps,Graubünden,CH,0
Cima Giner,2957,340,10.7325,46.2372,Adamello-Presanella,Trentino,IT,0
Piz Miez,2956,445,8.9167,46.6547,Adula Alps,Graubünden,CH,0
Tête de L'Enchastraye/Enciastraia,2954,310,6.8883,44.3675,Maritime Alps,AdHP/Cuneo,FR/IT,0
Torent / Torrone Alto,2952,835,9.0711,46.3436,Adula Alps,Graub./Ticino,CH,1882
Brunnistock,2952,661,8.5500,46.8478,Urner Alps,Uri,CH,0
Crasta Mora,2952,486,9.8681,46.5714,Albula Alps,Graubünden,CH,0
Bättlihorn,2951,388,8.0939,46.3325,Leone-Gotthard Alps,Valais,CH,0
Corni di Nefelgiú,2951,368,8.3794,46.3956,Leone-Gotthard Alps,V-C-O,IT,0
Hochgrabe,2951,296,12.4217,46.8489,Villgraten Mountains,East Tyrol,AT,0
Crête de Lacha,2950,425,6.4594,45.0972,Massif des Cerces,Savoy,FR,0
Asta Soprana,2950,424,7.3133,44.2033,Maritime Alps,Cuneo,IT,0
Piz Tomül / Wissensteinhorn,2946,534,9.2283,46.6233,Adula Alps,Graubünden,CH,1807
Piz Cavel,2946,518,9.0197,46.6558,Adula Alps,Graubünden,CH,0
Einshorn,2944,571,9.2303,46.5161,Adula Alps,Graubünden,CH,0
Gölbner,2943,382,12.5050,46.8242,Villgraten Mountains,East Tyrol,AT,0
Hochkönig,2941,2181,13.0625,47.4203,Berchtesgaden Alps,Salzburg,AT,1826
Cime de la Condamine,2940,515,6.5197,44.8925,Massif des Écrins,Hautes-Alpes,FR,0
Gross Schinhorn/Punta di Valdeserta,2939,465,8.2608,46.3611,Leone-Gotthard Alps,Valais/V-C-O,CH/IT,0
Pointe de la Louïe Blanche,2939,372,6.9147,45.6611,Graian Alps - Central,Savoy/Aosta,FR/IT,0
Pizzo del Ramulazz S,2939,324,9.0928,46.3967,Adula Alps,Graub./Ticino,CH,0
Monte Unghiasse,2939,298,7.2950,45.4161,Graian Alps - SE,Turin,IT,0
Pic de Chabrières,2938,435,6.6236,44.5706,Southern Cottian Alps,A-d-H-Provence,FR,0
Mont Malinvern,2938,403,7.1894,44.1989,Maritime Alps,A-Marit/Cuneo,FR/IT,1878
Cime di Plator,2937,654,10.2706,46.5150,Livigno Alps,Sondrio,IT,0
Pietra Grande,2937,496,10.8958,46.2314,Brenta Dolomites,Trentino,IT,1883
Monte Gruf,2936,446,9.5058,46.2861,Bregaglia Range,Sondrio,IT,0
Mont du Grand Capelet,2935,298,7.4275,44.0783,Maritime Alps,Alpes Maritimes,FR,0
Cimon del Froppa,2932,677,12.3406,46.5072,Dolomites - NE,Belluno,IT,1872
Monte Pettini,2932,640,10.2275,46.5361,Livigno Alps,Sondrio,IT,0
Bärenhorn,2929,449,9.2319,46.5756,Adula Alps,Graubünden,CH,0
Tête du Pelvas/Monte Palavas,2929,400,6.9997,44.7900,Central Cottian Alps,H-Alpes/Turin,FR/IT,0
Rosställispitz,2929,368,9.9936,46.7892,Silvretta,Graubünden,CH,0
